E.1,E.2,E.3,E.4,M.1,M.2,M.3,M.4,M.5,H.1,H.2,H.3,H.4,H.5,H.6,,EROTİCA WORD LİST,,,,E1,E2,E3,E4,M1,M2,M3,M4,M5,H1,H2,H3,H4,H5,H6
ability,access,abbreviation,Acquire,Abnormal,Abolish,Abrasive,Abandon,Abjure,abolish,abrasive,abandon,abase,Abash,Acrostic,,alluring,,,,ability,access,abbreviation,acquire,abnormal,abolish,abrasive,abandon,abjure,abolish,abrasive,abandon,abase,abash,acrostic
accomplish,accompany,absolute,Adapt,Abundant,Acquaintance,Abridge,Abate,Accede,abridge,abstinence,abate,abeyance,Ablation,Advertorial,,aphrodisiac,,,,accomplish,accompany,absolute,adapt,abundant,acquaintance,abridge,abate,accede,abridge,abstinence,abate,abeyance,ablation,advertorial
active,accuse,absorb,Apologize,Accumulate,Adjacent,Abstinence,Abdicate,Accretion,abstract,accentuate,abdicate,abjure,Ablution,Affray,,arousing,,,,active,accuse,absorb,apologize,accumulate,adjacent,abstinence,abdicate,accretion,abstract,accentuate,abdicate,abjure,ablution,affray
address,achieve,academic,Balance,Acknowledge,Advent,Abstract,Aberrant,Acolyte,acclaim,accolade,aberrant,abut,Abnegation,Agog,,bodacious,,,,address,achieve,academic,balance,acknowledge,advent,abstract,aberrant,acolyte,acclaim,accolade,aberrant,abut,abnegation,agog
advice,adjust,accuracy,Bake,Adapt,Adversary,Acclaim,Abet,Acumen,accommodate,acme,abet,accede,Abrogate,Ague,,bawdy,,,,advice,adjust,accuracy,bake,adapt,adversary,acclaim,abet,acumen,accommodate,acme,abet,accede,abrogate,ague
afford,adopt,advantage,Blossom,Adequate,Adversity,Accolade,Abhor,Adduce,accord,adage,abhor,accretion,Abstemious,Akimbo,,creamy,,,,afford,adopt,advantage,blossom,adequate,adversity,accolade,abhor,adduce,accord,adage,abhor,accretion,abstemious,akimbo
anniversary,alert,adventurous,Bounce,Allocate,Aesthetic,Accommodate,Abject,Adroit,adamant,adept,abject,acerbic,Acquisitive,Amanuensis,,desirable,,,,anniversary,alert,adventurous,bounce,allocate,aesthetic,accommodate,abject,adroit,adamant,adept,abject,acerbic,acquisitive,amanuensis
approach,ambition,affection,Build,Alteration,Allege,Accord,Abominate,Alienate,advent,adherent,abominate,acolyte,Acrimonious,Ambit,,dirty,,,,approach,ambition,affection,build,alteration,allege,accord,abominate,alienate,advent,adherent,abominate,acolyte,acrimonious,ambit
attractive,ancient,agent,Catch,Amend,Anguish,Acme,Abortive,Allegorical,adversary,adjunct,abortive,acumen,Addle,Androgynous,,disheveled,,,,attractive,ancient,agent,catch,amend,anguish,acme,abortive,allegorical,adversary,adjunct,abortive,acumen,addle,androgynous
avoid,annual,aggressive,Cheer,Analyze,Animated,Adage,Abscond,Alliteration,adversity,admonish,abscond,adduce,Adjure,Animadversion,,erogenous,,,,avoid,annual,aggressive,cheer,analyze,animated,adage,abscond,alliteration,adversity,admonish,abscond,adduce,adjure,animadversion
brief,apology,alternative,Clean,Appreciate,Append,Adamant,Absolve,Altercation,aesthetic,adulterate,absolve,adroit,Adumbrate,Aphasia,,erotic,,,,brief,apology,alternative,clean,appreciate,append,adamant,absolve,altercation,aesthetic,adulterate,absolve,adroit,adumbrate,aphasia
capable,appoint,altitude,Clap,Approximate,Aptitude,Adept,Abstruse,Anathema,affiliation,advocate,abstruse,affront,Adventitious,Apologia,,eroticism,,,,capable,appoint,altitude,clap,approximate,aptitude,adept,abstruse,anathema,affiliation,advocate,abstruse,affront,adventitious,apologia
capture,arena,ancestor,Climb,Assumption,Arbitrary,Adherent,Abysmal,Ancillary,affirmation,affinity,abysmal,agglomerate,Aegis,Apoplexy,,flirty,,,,capture,arena,ancestor,climb,assumption,arbitrary,adherent,abysmal,ancillary,affirmation,affinity,abysmal,agglomerate,aegis,apoplexy
century,arrange,antique,Collect,Authentic,Arid,Adjunct,Accentuate,Animus,affliction,affluence,acclimate,alacrity,Aggrandize,Apparatchik,,flirtatious,,,,century,arrange,antique,collect,authentic,arid,adjunct,accentuate,animus,affliction,affluence,acclimate,alacrity,aggrandize,apparatchik
certain,arrest,anxious,Cook,Beneficial,Arrogant,Admonish,Acclimate,Antecedent,aftermath,aggregate,accost,allegorical,Aliment,Arrant,,indecent,,,,certain,arrest,anxious,cook,beneficial,arrogant,admonish,acclimate,antecedent,aftermath,aggregate,accost,allegorical,aliment,arrant
challenge,assist,apply,Count,Capacity,Artifact,Adulterate,Accost,Antipathy,aggravation,alleviate,accrue,alliteration,Annular,Arriviste,,insatiable,,,,challenge,assist,apply,count,capacity,artifact,adulterate,accost,antipathy,aggravation,alleviate,accrue,alliteration,annular,arriviste
character,assortment,ascend,Crawl,Cite,Ascertain,Advocate,Accrue,Aplomb,ambidextrous,aloof,acquiesce,altercation,Anodyne,Askance,,intimate,,,,character,assortment,ascend,crawl,cite,ascertain,advocate,accrue,aplomb,ambidextrous,aloof,acquiesce,altercation,anodyne,askance
climate,assure,assembly,Create,Civil,Aspire,Affiliation,Acquiesce,Apogee,ambiguous,amass,acrid,ameliorate,Antediluvian,Astern,,kissable,,,,climate,assure,assembly,create,civil,aspire,affiliation,acquiesce,apogee,ambiguous,amass,acrid,ameliorate,antediluvian,astern
collection,attach,assessment,Dance,Compel,Audible,Affinity,Acrid,Appellation,anecdote,amenable,acuity,anathema,Antipodal,Athwart,,lascivious,,,,collection,attach,assessment,dance,compel,audible,affinity,acrid,appellation,anecdote,amenable,acuity,anathema,antipodal,athwart
committee,attempt,assign,Daydream,Comply,Authoritarian,Affirmation,Acuity,Appropriate,anguish,amenity,addendum,animus,Apocryphal,Autochthonous,,libidinous,,,,committee,attempt,assign,daydream,comply,authoritarian,affirmation,acuity,appropriate,anguish,amenity,addendum,animus,apocryphal,autochthonous
community,attend,attentive,Dig,Compromise,Avid,Affliction,Addendum,Arboreal,animated,amicable,adjudicate,antecedent,Apostate,Autodidact,,lubricious,,,,community,attend,attentive,dig,compromise,avid,affliction,addendum,arboreal,animated,amicable,adjudicate,antecedent,apostate,autodidact
compare,authority,attitude,Discover,Conceal,Belligerent,Affluence,Adjudicate,Ardor,annihilate,amnesty,adulation,anthropomorphic,Apotheosis,Avatar,,luscious,,,,compare,authority,attitude,discover,conceal,belligerent,affluence,adjudicate,ardor,annihilate,amnesty,adulation,anthropomorphic,apotheosis,avatar
completely,automatic,audition,Dive,Concept,Bewilder,Aftermath,Adulation,Arduous,anonymous,amorphous,affable,antipathy,Apposite,Balderdash,,lust,,,,completely,automatic,audition,dive,concept,bewilder,aftermath,adulation,arduous,anonymous,amorphous,affable,antipathy,apposite,balderdash
concern,available,authorize,Draw,Confront,Bleak,Aggravation,Affable,Arraign,apprehensive,anarchy,agnostic,antithesis,Appurtenance,Bauble,,naughty,,,,concern,available,authorize,draw,confront,bleak,aggravation,affable,arraign,apprehensive,anarchy,agnostic,antithesis,appurtenance,bauble
condition,average,benefit,Enjoy,Consent,Brevity,Ambidextrous,Aggregate,Artifice,apprentice,anoint,agrarian,aphorism,Aquiline,Bespoke,,nubile,,,,condition,average,benefit,enjoy,consent,brevity,ambidextrous,aggregate,artifice,apprentice,anoint,agrarian,aphorism,aquiline,bespoke
consider,basic,biology,Encourage,Constitute,Calligraphy,Ambiguous,Agnostic,Artless,aptitude,antagonist,alienate,aplomb,Arch,Betoken,,passion,,,,consider,basic,biology,encourage,constitute,calligraphy,ambiguous,agnostic,artless,aptitude,antagonist,alienate,aplomb,arch,betoken
contain,bold,blend,Explore,Contract,Catastrophe,Amenity,Agrarian,Assay,arbitrary,antiquated,allay,apogee,Argot,Blazon,,passionate,,,,contain,bold,blend,explore,contract,catastrophe,amenity,agrarian,assay,arbitrary,antiquated,allay,apogee,argot,blazon
contribute,cease,brilliant,Express,Conversion,Cavernous,Amicable,Allay,Assignation,arid,apathy,allude,appellation,Arrogate,Brouhaha,,plunging,,,,contribute,cease,brilliant,express,conversion,cavernous,amicable,allay,assignation,arid,apathy,allude,appellation,arrogate,brouhaha
custom,circular,calculate,Fetch,Coordinate,Celestial,Anecdote,Alleviate,Assuage,artifact,apex,altruistic,apprise,Aspersion,Bulwark,,pleasurable,,,,custom,circular,calculate,fetch,coordinate,celestial,anecdote,alleviate,assuage,artifact,apex,altruistic,apprise,aspersion,bulwark
decide,column,category,Find,Diminish,Cerebral,Annihilate,Allude,Astringent,aspiration,appease,amalgamate,appropriate,Atavism,Chiaroscuro,,promiscuous,,,,decide,column,category,find,diminish,cerebral,annihilate,allude,astringent,aspiration,appease,amalgamate,appropriate,atavism,chiaroscuro
degree,combine,cautious,Fly,Discriminate,Chronicle,Anonymous,Aloof,Attenuate,assent,apportion,amatory,apropos,Augury,Cognoscenti,,prurient,,,,degree,combine,cautious,fly,discriminate,chronicle,anonymous,aloof,attenuate,assent,apportion,amatory,apropos,augury,cognoscenti
describe,communicate,cavity,Float,Dispute,Chronological,Antiquated,Altruistic,Auspicious,assertive,appraisal,ambient,arboreal,Avuncular,Colophon,,ravishing,,,,describe,communicate,cavity,float,dispute,chronological,antiquated,altruistic,auspicious,assertive,appraisal,ambient,arboreal,avuncular,colophon
design,companion,circulate,Frolic,Distinctive,Coincide,Apathy,Amass,Aver,audacious,arbiter,ambivalent,ardor,Badinage,Contretemps,,rough,,,,design,companion,circulate,frolic,distinctive,coincide,apathy,amass,aver,audacious,arbiter,ambivalent,ardor,badinage,contretemps
desire,confuse,collapse,Giggle,Diverse,Commotion,Appease,Ambient,Axiom,augment,archaic,ambulatory,arraign,Bagatelle,Copacetic,,hardcore,,,,desire,confuse,collapse,giggle,diverse,commotion,appease,ambient,axiom,augment,archaic,ambulatory,arraign,bagatelle,copacetic
discover,congratulate,collide,Glide,Durable,Communal,Apportion,Ambivalent,Bastion,auxiliary,articulate,amity,artifice,Bailiwick,Cudgel,,salacious,,,,discover,congratulate,collide,glide,durable,communal,apportion,ambivalent,bastion,auxiliary,articulate,amity,artifice,bailiwick,cudgel
discussion,construct,commentary,Grow,Dynamic,Compilation,Appraisal,Amenable,Bedlam,avert,assimilate,anachronism,artless,Besmirch,Deracinate,,seductive,,,,discussion,construct,commentary,grow,dynamic,compilation,appraisal,amenable,bedlam,avert,assimilate,anachronism,artless,besmirch,deracinate
disease,contact,commitment,Guide,Eliminate,Composure,Apprehensive,Amity,Beleaguer,belligerent,astute,analogous,aspirate,Bilious,Descry,,sensual,,,,disease,contact,commitment,guide,eliminate,composure,apprehensive,amity,beleaguer,belligerent,astute,analogous,aspirate,bilious,descry
eager,content,compact,Harvest,Elite,Comprehend,Apprentice,Amnesty,Belie,benevolent,atrocious,ancillary,assiduous,Blandishment,Disport,,sensuous,,,,eager,content,compact,harvest,elite,comprehend,apprentice,amnesty,belie,benevolent,atrocious,ancillary,assiduous,blandishment,disport
emergency,conversation,compassion,Help,Emphasis,Concede,Archaic,Amorphous,Beset,benign,austere,anomaly,assignation,Bowdlerize,Dissimulate,,silky,,,,emergency,conversation,compassion,help,emphasis,concede,archaic,amorphous,beset,benign,austere,anomaly,assignation,bowdlerize,dissimulate
entrance,convince,competition,Hide,Endorse,Conceit,Articulate,Anachronism,Bifurcate,bestow,autonomous,apparition,assuage,Bravura,Doggerel,,slinky,,,,entrance,convince,competition,hide,endorse,conceit,articulate,anachronism,bifurcate,bestow,autonomous,apparition,assuage,bravura,doggerel
event,couple,complex,Hug,Endure,Concentric,Aspiration,Analogous,Brazen,bewilder,avarice,approbation,astringent,Bucolic,Doyenne,,spicy,,,,event,couple,complex,hug,endure,concentric,aspiration,analogous,brazen,bewilder,avarice,approbation,astringent,bucolic,doyenne
expert,culture,complicated,Imagine,Engaging,Concise,Assent,Anarchy,Bristling,boisterous,aversion,arcane,atrophy,Bumptious,Dragoon,,steamy,,,,expert,culture,complicated,imagine,engaging,concise,assent,anarchy,bristling,boisterous,aversion,arcane,atrophy,bumptious,dragoon
explore,decay,complimentary,Investigate,Enhance,Concoct,Assertive,Anoint,Broach,breach,banter,archetype,attenuate,Cabal,Dystopia,,sultry,,,,explore,decay,complimentary,investigate,enhance,concoct,assertive,anoint,broach,breach,banter,archetype,attenuate,cabal,dystopia
express,declare,conceive,Invent,Exotic,Concur,Audacious,Anomaly,Buoyant,brevity,barrage,archipelago,august,Callow,Egalite,,stimulating,,,,express,declare,conceive,invent,exotic,concur,audacious,anomaly,buoyant,brevity,barrage,archipelago,august,callow,egalite
extend,defend,concentrate,Jog,Exploit,Concurrent,Augment,Antagonist,Cadre,calligraphy,belittle,arduous,auspicious,Captious,Embouchure,,tantalizing,,,,extend,defend,concentrate,jog,exploit,concurrent,augment,antagonist,cadre,calligraphy,belittle,arduous,auspicious,captious,embouchure
extremely,define,conclusion,Juggle,Fragile,Condole,Auxiliary,Apex,Cajole,cavernous,bequeath,assay,aver,Catatonic,Emeritus,,tempting,,,,extremely,define,conclusion,juggle,fragile,condole,auxiliary,apex,cajole,cavernous,bequeath,assay,aver,catatonic,emeritus
feature,demand,conduct,Jump,Frank,Conglomerate,Aversion,Apparition,Camaraderie,chaotic,bereaved,attrition,avocation,Cavil,Empyrean,,thrusting,,,,feature,demand,conduct,jump,frank,conglomerate,aversion,apparition,camaraderie,chaotic,bereaved,attrition,avocation,cavil,empyrean
focus,depend,confident,Kick,Furthermore,Conjecture,Avert,Approbation,Canonize,charisma,besiege,auspices,baleful,Celerity,Epicene,,titillating,,,,focus,depend,confident,kick,furthermore,conjecture,avert,approbation,canonize,charisma,besiege,auspices,baleful,celerity,epicene
general,desperate,confine,Laugh,Haste,Conscientious,Barrage,Arcane,Capitulate,choreography,bigotry,autocratic,banal,Chary,Epigraph,,tussle,,,,general,desperate,confine,laugh,haste,conscientious,barrage,arcane,capitulate,choreography,bigotry,autocratic,banal,chary,epigraph
geography,difference,conflict,Learn,Heritage,Consensus,Belittle,Archetype,Capricious,chronicle,blight,awry,bandy,Cherubic,Epistemology,,voluptuous,,,,geography,difference,conflict,learn,heritage,consensus,belittle,archetype,capricious,chronicle,blight,awry,bandy,cherubic,epistemology
globe,disaster,connection,Listen,Hostile,Consolidate,Benevolent,Archipelago,Cardinal,chronological,bolster,axiom,bane,Chicanery,Epistolary,,arouse,,,,globe,disaster,connection,listen,hostile,consolidate,benevolent,archipelago,cardinal,chronological,bolster,axiom,bane,chicanery,epistolary
government,dismiss,consecutive,Make,Immense,Constituent,Benign,Assimilate,Castigate,circumstantial,boon,baroque,beatific,Chimerical,Equable,,allure,,,,government,dismiss,consecutive,make,immense,constituent,benign,assimilate,castigate,circumstantial,boon,baroque,beatific,chimerical,equable
host,disorder,constant,Meditate,Impact,Constrain,Bequeath,Astute,Cataclysm,clientele,buttress,bastion,behemoth,Churlish,Eschatology,,flirt,,,,host,disorder,constant,meditate,impact,constrain,bequeath,astute,cataclysm,clientele,buttress,bastion,behemoth,churlish,eschatology
identity,distant,contrast,Multiply,Implement,Contemplate,Bereaved,Atrocious,Cauterize,coalition,cadence,bedeck,beleaguer,Circumlocution,Finagle,,ravish,,,,identity,distant,contrast,multiply,implement,contemplate,bereaved,atrocious,cauterize,coalition,cadence,bedeck,beleaguer,circumlocution,finagle
imagine,distract,cooperate,Navigate,Inclined,Contemporary,Besiege,Attrition,Cavort,coerce,caliber,bedevil,belie,Cloy,Forbear,,rape,,,,imagine,distract,cooperate,navigate,inclined,contemporary,besiege,attrition,cavort,coerce,caliber,bedevil,belie,cloy,forbear
incident,dramatic,coward,Nourish,Incorporate,Contrary,Bestow,Auspices,Chaff,collaborate,callous,bedlam,beset,Codicil,Frippery,,titillate,,,,incident,dramatic,coward,nourish,incorporate,contrary,bestow,auspices,chaff,collaborate,callous,bedlam,beset,codicil,frippery
independent,ease,crisis,Nurture,Infinite,Convene,Boisterous,Austere,Chagrin,collateral,captivate,beget,bevy,Colloquy,Genotype,,ĞĞĞ,,,,independent,ease,crisis,nurture,infinite,convene,boisterous,austere,chagrin,collateral,captivate,beget,bevy,colloquy,genotype
index,economic,critical,Observe,Integrity,Conventional,Breach,Autocratic,Choleric,colossal,caricature,beguile,bifurcate,Comestible,Glitz,,,,,,index,economic,critical,observe,integrity,conventional,breach,autocratic,choleric,colossal,caricature,beguile,bifurcate,comestible,glitz
issue,elementary,criticism,Origami,Legacy,Convergent,Buttress,Autonomous,Circumspect,commandeer,catalyst,behest,blithe,Complaisant,Guerdon,,,,,,issue,elementary,criticism,origami,legacy,convergent,buttress,autonomous,circumspect,commandeer,catalyst,behest,blithe,complaisant,guerdon
journey,emotional,currently,Originate,Legendary,Cordial,Cadence,Avarice,Clairvoyant,commemorate,centenary,beholden,bohemian,Compunction,Hagiography,,,,,,journey,emotional,currently,originate,legendary,cordial,cadence,avarice,clairvoyant,commemorate,centenary,beholden,bohemian,compunction,hagiography
judge,enormous,cycle,Paint,Legislation,Cornucopia,Captivate,Awry,Clandestine,communal,chronic,bellicose,bombastic,Condign,Haptic,,,,,,judge,enormous,cycle,paint,legislation,cornucopia,captivate,awry,clandestine,communal,chronic,bellicose,bombastic,condign,haptic
legal,entertain,data,Perform,Legitimate,Corrosion,Caricature,Banter,Coagulate,competent,circumvent,bemused,brackish,Confute,Harridan,,,,,,legal,entertain,data,perform,legitimate,corrosion,caricature,banter,coagulate,competent,circumvent,bemused,brackish,confute,harridan
luxury,entire,deceive,Plant,Leisure,Counterpart,Centenary,Bedeck,Cogent,concede,clique,benefaction,braggadocio,Consanguinity,Hector,,,,,,luxury,entire,deceive,plant,leisure,counterpart,centenary,bedeck,cogent,concede,clique,benefaction,braggadocio,consanguinity,hector
major,environment,dedicate,Play,Magnitude,Credible,Chaotic,Bedevil,Collate,concentric,cognitive,berate,bravado,Contrite,Hoary,,,,,,major,environment,dedicate,play,magnitude,credible,chaotic,bedevil,collate,concentric,cognitive,berate,bravado,contrite,hoary
manage,error,defer,Quack,Merge,Criteria,Charisma,Beget,Collude,concise,cohesive,bourgeois,brusque,Contumacious,Hoyden,,,,,,manage,error,defer,quack,merge,criteria,charisma,beget,collude,concise,cohesive,bourgeois,brusque,contumacious,hoyden
medium,estimate,delicate,Question,Methodical,Cultivate,Choreography,Beguile,Commiserate,concurrent,commendation,brazen,burgeon,Convoke,Immolate,,,,,,medium,estimate,delicate,question,methodical,cultivate,choreography,beguile,commiserate,concurrent,commendation,brazen,burgeon,convoke,immolate
multiply,evidence,democratic,Read,Minimum,Cumulative,Chronic,Behest,Commutation,condemnation,complacent,bristling,burnish,Coterie,Immure,,,,,,multiply,evidence,democratic,read,minimum,cumulative,chronic,behest,commutation,condemnation,complacent,bristling,burnish,coterie,immure
nation,exact,demonstrate,Relax,Mortal,Customary,Circumstantial,Beholden,Complicity,condole,complement,broach,cachet,Crepuscular,Improvidence,,,,,,nation,exact,demonstrate,relax,mortal,customary,circumstantial,beholden,complicity,condole,complement,broach,cachet,crepuscular,improvidence
natural,examine,dense,Ride,Obliging,Cynical,Circumvent,Bellicose,Comport,conglomerate,compliant,buoyant,calumny,Cynosure,Indubitable,,,,,,natural,examine,dense,ride,obliging,cynical,circumvent,bellicose,comport,conglomerate,compliant,buoyant,calumny,cynosure,indubitable
negative,exhibit,depress,Roam,Obstacle,Deceitful,Clientele,Bemused,Concatenate,conjecture,compulsion,cadre,canard,Decorous,Insuperable,,,,,,negative,exhibit,depress,roam,obstacle,deceitful,clientele,bemused,concatenate,conjecture,compulsion,cadre,canard,decorous,insuperable
opinion,expand,deprive,Run,Overwhelm,Deficit,Coalition,Benefaction,Conciliation,conscientious,condescend,cajole,canonize,Decrepitude,Jocose,,,,,,opinion,expand,deprive,run,overwhelm,deficit,coalition,benefaction,conciliation,conscientious,condescend,cajole,canonize,decrepitude,jocose
opportunity,expected,descend,Share,Perceive,Demean,Coerce,Berate,Conclave,consensus,condone,camaraderie,cantankerous,Demur,Junta,,,,,,opportunity,expected,descend,share,perceive,demean,coerce,berate,conclave,consensus,condone,camaraderie,cantankerous,demur,junta
opposite,expensive,destruction,Shout,Persist,Depict,Cognitive,Bigotry,Concomitant,constrain,conducive,candor,capacious,Denouement,Kibosh,,,,,,opposite,expensive,destruction,shout,persist,depict,cognitive,bigotry,concomitant,constrain,conducive,candor,capacious,denouement,kibosh
perform,experience,detail,Sing,Phase,Deplorable,Collaborate,Blight,Conflagration,contemplate,confidant,capricious,capitulate,Desiccate,Kismet,,,,,,perform,experience,detail,sing,phase,deplorable,collaborate,blight,conflagration,contemplate,confidant,capricious,capitulate,desiccate,kismet
permit,experiment,detect,Skip,Pioneer,Descendant,Collateral,Bolster,Congeal,contemporary,confound,cardinal,carapace,Desultory,Knavish,,,,,,permit,experiment,detect,skip,pioneer,descendant,collateral,bolster,congeal,contemporary,confound,cardinal,carapace,desultory,knavish
prepare,export,determine,Smile,Potential,Designation,Colossal,Boon,Conjugal,contrary,congenial,carnage,carp,Detritus,Languorous,,,,,,prepare,export,determine,smile,potential,designation,colossal,boon,conjugal,contrary,congenial,carnage,carp,detritus,languorous
prevent,familiar,devote,Solve,Prejudice,Despair,Commandeer,Caliber,Conscript,convene,conjure,caustic,castigate,Devolve,Leitmotif,,,,,,prevent,familiar,devote,solve,prejudice,despair,commandeer,caliber,conscript,convene,conjure,caustic,castigate,devolve,leitmotif
process,fiction,digest,Sprout,Preliminary,Deviate,Commemorate,Callous,Convivial,conventional,connoisseur,cavalier,cataclysm,Dialectic,Masticate,,,,,,process,fiction,digest,sprout,preliminary,deviate,commemorate,callous,convivial,conventional,connoisseur,cavalier,cataclysm,dialectic,masticate
provide,flexible,displace,Swim,Premise,Devious,Commendation,Candor,Corpulent,convergent,contemptible,cede,catharsis,Diaphanous,Mien,,,,,,provide,flexible,displace,swim,premise,devious,commendation,candor,corpulent,convergent,contemptible,cede,catharsis,diaphanous,mien
