E.1,E.2,E.3,E.4,M.1,M.2,M.3,M.4,M.5,H.1,H.2,H.3,H.4,H.5,H.6,,EROTİCA WORD LİST,,,,E1,E2,E3,E4,M1,M2,M3,M4,M5,H1,H2,H3,H4,H5,H6
purchase,fluid,dissimilar,Teach,Prior,Dialect,Competent,Carnage,Covet,cordial,contentious,censure,cauterize,Didactic,Morass,,,,,,purchase,fluid,dissimilar,teach,prior,dialect,competent,carnage,covet,cordial,contentious,censure,cauterize,didactic,morass
quality,fortunate,distribute,Think,Prominent,Dilemma,Complement,Catalyst,Craven,cornucopia,contingent,cessation,cavort,Dilatory,Mullah,,,,,,quality,fortunate,distribute,think,prominent,dilemma,complement,catalyst,craven,cornucopia,contingent,cessation,cavort,dilatory,mullah
region,frequent,disturb,Throw,Propose,Diligent,Compliant,Caustic,Credulous,credible,contrived,chaff,charlatan,Dilettante,Natter,,,,,,region,frequent,disturb,throw,propose,diligent,compliant,caustic,credulous,credible,contrived,chaff,charlatan,dilettante,natter
reject,function,division,Travel,Prosperity,Discern,Compulsion,Cavalier,Cull,cynical,copious,chagrin,chauvinism,Dirge,Nugatory,,,,,,reject,function,division,travel,prosperity,discern,compulsion,cavalier,cull,cynical,copious,chagrin,chauvinism,dirge,nugatory
report,fundamental,dominant,Understand,Qualified,Disclaimer,Condemnation,Cede,Culminate,decipher,correlate,chastise,choleric,Disabuse,Occultation,,,,,,report,fundamental,dominant,understand,qualified,disclaimer,condemnation,cede,culminate,decipher,correlate,chastise,choleric,disabuse,occultation
required,furious,duplicate,Uncover,Rational,Discrepancy,Condescend,Censure,Culpable,deficit,corrugated,chivalrous,circumspect,Disaffected,Oeuvre,,,,,,required,furious,duplicate,uncover,rational,discrepancy,condescend,censure,culpable,deficit,corrugated,chivalrous,circumspect,disaffected,oeuvre
research,gradual,duration,Unite,Refuge,Disentangle,Condone,Cessation,Dapper,denounce,cosmopolitan,circuitous,clairvoyant,Discombobulated,Oligarchy,,,,,,research,gradual,duration,unite,refuge,disentangle,condone,cessation,dapper,denounce,cosmopolitan,circuitous,clairvoyant,discombobulated,oligarchy
responsible,habit,edible,Visit,Reinforce,Disintegrate,Conducive,Chastise,Daunt,deprivation,covert,circumscribe,coagulate,Discomfit,Oligopoly,,,,,,responsible,habit,edible,visit,reinforce,disintegrate,conducive,chastise,daunt,deprivation,covert,circumscribe,coagulate,discomfit,oligopoly
security,illustrate,edit,Volunteer,Reserved,Dismal,Confidant,Chivalrous,Dearth,derivative,crescendo,clandestine,cogitate,Disinter,Ontology,,,,,,security,illustrate,edit,volunteer,reserved,dismal,confidant,chivalrous,dearth,derivative,crescendo,clandestine,cogitate,disinter,ontology
series,immediately,eligible,Wander,Restore,Dismantle,Confound,Circuitous,Debacle,designation,culinary,clarion,collate,Dissemble,Orotund,,,,,,series,immediately,eligible,wander,restore,dismantle,confound,circuitous,debacle,designation,culinary,clarion,collate,dissemble,orotund
similar,impress,emerge,Weave,Restraint,Dispel,Congenial,Circumscribe,Debonair,desolate,curtail,clemency,collude,Distend,Palaver,,,,,,similar,impress,emerge,weave,restraint,dispel,congenial,circumscribe,debonair,desolate,curtail,clemency,collude,distend,palaver
solve,individual,employ,Whisper,Resume,Disposition,Conjure,Clarion,Deference,despicable,deadlock,cloister,comely,Dolorous,Palimpsest,,,,,,solve,individual,employ,whisper,resume,disposition,conjure,clarion,deference,despicable,deadlock,cloister,comely,dolorous,palimpsest
source,inspect,erupt,Write,Revelation,Disrupt,Connoisseur,Clemency,Defile,deterrent,decadent,coalesce,commiserate,Dross,Parvenu,,,,,,source,inspect,erupt,write,revelation,disrupt,connoisseur,clemency,defile,deterrent,decadent,coalesce,commiserate,dross,parvenu
state,instant,essential,Xplore,Ritual,Dissension,Contemptible,Clique,Deft,deviate,decimate,cogent,commodious,Dulcet,Patisserie,,,,,,state,instant,essential,xplore,ritual,dissension,contemptible,clique,deft,deviate,decimate,cogent,commodious,dulcet,patisserie
statement,intelligent,evacuate,Yearn,Sector,Distortion,Contentious,Cloister,Delectable,dilemma,definitive,commune,commutation,Effete,Peckish,,,,,,statement,intelligent,evacuate,yearn,sector,distortion,contentious,cloister,delectable,dilemma,definitive,commune,commutation,effete,peckish
structure,intend,evaluate,Zigzag,Significant,Dominion,Contingent,Coalesce,Deleterious,dire,defunct,compendium,complicity,Effrontery,Phalanx,,,,,,structure,intend,evaluate,zigzag,significant,dominion,contingent,coalesce,deleterious,dire,defunct,compendium,complicity,effrontery,phalanx
style,interrupt,excel,Zoom,Spacious,Dubious,Contrived,Cohesive,Deliberate,discern,deluge,concerted,comport,Effulgent,Phantasmagoria,,,,,,style,interrupt,excel,zoom,spacious,dubious,contrived,cohesive,deliberate,discern,deluge,concerted,comport,effulgent,phantasmagoria
transport,investigation,exception,ĞĞĞ,Subsequent,Egotistical,Copious,Commune,Delineate,discrepancy,demarcation,confluence,concatenate,Egalitarian,Physiognomy,,,,,,transport,investigation,exception,ğğğ,subsequent,egotistical,copious,commune,delineate,discrepancy,demarcation,confluence,concatenate,egalitarian,physiognomy
treaty,invisible,exert,,Substantial,Elated,Corrugated,Compendium,Demagogue,disentangle,demented,congenital,conciliation,Emollient,Picaresque,,,,,,treaty,invisible,exert,,substantial,elated,corrugated,compendium,demagogue,disentangle,demented,congenital,conciliation,emollient,picaresque
visible,involved,expedition,,Suppress,Eloquent,Cosmopolitan,Complacent,Denude,dismantle,demise,connive,conclave,Emolument,Pidgin,,,,,,visible,involved,expedition,,suppress,eloquent,cosmopolitan,complacent,denude,dismantle,demise,connive,conclave,emolument,pidgin
vision,lack,external,,Thrifty,Embark,Covert,Concerted,Depravity,dispel,demographic,connote,concomitant,Encomium,Pilfer,,,,,,vision,lack,external,,thrifty,embark,covert,concerted,depravity,dispel,demographic,connote,concomitant,encomium,pilfer
wisdom,limit,factor,,Thrive,Eminent,Crescendo,Confluence,Desecrate,disposition,deplete,consign,conflagration,Enervate,Plebiscite,,,,,,wisdom,limit,factor,,thrive,eminent,crescendo,confluence,desecrate,disposition,deplete,consign,conflagration,enervate,plebiscite
ĞĞĞ,loyal,fatal,,Urban,Encompass,Decimate,Congenital,Despot,dissension,derogatory,consternation,congeal,Ennui,Plenitude,,,,,,ğğğ,loyal,fatal,,urban,encompass,decimate,congenital,despot,dissension,derogatory,consternation,congeal,ennui,plenitude
,majority,favorable,,Variant,Entice,Decipher,Connive,Diatribe,distortion,destitute,consummate,conjugal,Enormity,Polyphonic,,,,,,,majority,favorable,,variant,entice,decipher,connive,diatribe,distortion,destitute,consummate,conjugal,enormity,polyphonic
,manufacture,feat,,Vital,Entity,Definitive,Connote,Dichotomy,divergent,detrimental,contagion,conscript,Entropy,Prefigure,,,,,,,manufacture,feat,,vital,entity,definitive,connote,dichotomy,divergent,detrimental,contagion,conscript,entropy,prefigure
,master,fierce,,Vivid,Epidemic,Defunct,Consign,Diffident,diversion,devoid,contiguous,conundrum,Epicurean,Prehensile,,,,,,,master,fierce,,vivid,epidemic,defunct,consign,diffident,diversion,devoid,contiguous,conundrum,epicurean,prehensile
,mental,format,,ĞĞĞ,Erode,Demarcation,Consummate,Diffuse,dominion,dilapidated,contravene,convivial,Epigram,Preternatural,,,,,,,mental,format,,ğğğ,erode,demarcation,consummate,diffuse,dominion,dilapidated,contravene,convivial,epigram,preternatural
,minor,formula,,,Erratic,Demented,Contagion,Diminution,dormant,directive,convalescent,corpulent,Epithet,Prig,,,,,,,minor,formula,,,erratic,demented,contagion,diminution,dormant,directive,convalescent,corpulent,epithet,prig
,misery,fracture,,,Erroneous,Demise,Contiguous,Disburse,dreary,disarray,convoluted,countenance,Epochal,Proboscis,,,,,,,misery,fracture,,,erroneous,demise,contiguous,disburse,dreary,disarray,convoluted,countenance,epochal,proboscis
,modest,fragment,,,Esteem,Demographic,Contravene,Disconsolate,dubious,disdain,corporeal,countermand,Equanimity,Prosody,,,,,,,modest,fragment,,,esteem,demographic,contravene,disconsolate,dubious,disdain,corporeal,countermand,equanimity,prosody
,observe,generosity,,,Evasive,Denounce,Convalescent,Discrete,eccentric,disillusion,corroborate,credulous,Equivocate,Proxy,,,,,,,observe,generosity,,,evasive,denounce,convalescent,discrete,eccentric,disillusion,corroborate,credulous,equivocate,proxy
,obvious,gigantic,,,Excerpt,Deprivation,Convoluted,Discursive,eclipse,disincentive,covet,culpable,Ersatz,Pundit,,,,,,,obvious,gigantic,,,excerpt,deprivation,convoluted,discursive,eclipse,disincentive,covet,culpable,ersatz,pundit
,operate,glossary,,,Exemplify,Derivative,Corporeal,Disingenuous,ecstatic,disinterested,craven,dank,Escarpment,Quisling,,,,,,,operate,glossary,,,exemplify,derivative,corporeal,disingenuous,ecstatic,disinterested,craven,dank,escarpment,quisling
,organize,guidelines,,,Exodus,Derogatory,Correlate,Disparage,egotistical,dispersal,credence,debility,Euphony,Raffish,,,,,,,organize,guidelines,,,exodus,derogatory,correlate,disparage,egotistical,dispersal,credence,debility,euphony,raffish
,outstanding,habitat,,,Expansive,Desolate,Corroborate,Disquiet,eloquent,disseminate,crestfallen,debonair,Evanescent,Raillery,,,,,,,outstanding,habitat,,,expansive,desolate,corroborate,disquiet,eloquent,disseminate,crestfallen,debonair,evanescent,raillery
,pace,hazardous,,,Fabricate,Despicable,Credence,Dogmatic,embark,dissident,crux,deference,Evince,Razzmatazz,,,,,,,pace,hazardous,,,fabricate,despicable,credence,dogmatic,embark,dissident,crux,deference,evince,razzmatazz
,particular,hesitate,,,Facilitate,Destitute,Crestfallen,Dour,emphatic,dissipate,cull,defoliate,Excoriate,Reliquary,,,,,,,particular,hesitate,,,facilitate,destitute,crestfallen,dour,emphatic,dissipate,cull,defoliate,excoriate,reliquary
,pause,highlight,,,Fanaticism,Deterrent,Crux,Draconian,encompass,dissuade,culminate,deify,Exculpate,Rhapsodic,,,,,,,pause,highlight,,,fanaticism,deterrent,crux,draconian,encompass,dissuade,culminate,deify,exculpate,rhapsodic
,perfect,humble,,,Fatigue,Detrimental,Culinary,Duress,eradicate,distraught,curative,deign,Execrate,Rictus,,,,,,,perfect,humble,,,fatigue,detrimental,culinary,duress,eradicate,distraught,curative,deign,execrate,rictus
,plentiful,hurricane,,,Fidelity,Devoid,Curative,Echelon,erratic,dupe,curio,deleterious,Exegesis,Rigmarole,,,,,,,plentiful,hurricane,,,fidelity,devoid,curative,echelon,erratic,dupe,curio,deleterious,exegesis,rigmarole
,pointless,identical,,,Finite,Dilapidated,Curio,Efface,excise,duplicity,cursory,delineate,Exigent,Riparian,,,,,,,pointless,identical,,,finite,dilapidated,curio,efface,excise,duplicity,cursory,delineate,exigent,riparian
,portable,identify,,,Flair,Dire,Cursory,Egregious,exclusion,dwindle,dapper,demagogue,Exiguous,Risible,,,,,,,portable,identify,,,flair,dire,cursory,egregious,exclusion,dwindle,dapper,demagogue,exiguous,risible
,portion,imitate,,,Fluctuate,Directive,Curtail,Emaciated,excruciating,edict,daunt,denizen,Expatiate,Sallow,,,,,,,portion,imitate,,,fluctuate,directive,curtail,emaciated,excruciating,edict,daunt,denizen,expatiate,sallow
,positive,import,,,Formative,Disarray,Deadlock,Enigmatic,excursion,edifice,dearth,denude,Expiate,Sangfroid,,,,,,,positive,import,,,formative,disarray,deadlock,enigmatic,excursion,edifice,dearth,denude,expiate,sangfroid
,prefer,incline,,,Formulate,Disdain,Debunk,Epiphany,exemplify,efficacy,debacle,depravity,Expostulate,Sashay,,,,,,,prefer,incline,,,formulate,disdain,debunk,epiphany,exemplify,efficacy,debacle,depravity,expostulate,sashay
,previous,ingredient,,,Fortification,Disillusion,Decadent,Erudite,expansive,elicit,debunk,depredation,Expurgate,Schadenfreude,,,,,,,previous,ingredient,,,fortification,disillusion,decadent,erudite,expansive,elicit,debunk,depredation,expurgate,schadenfreude
,primary,input,,,Fruitless,Disincentive,Decry,Eschew,facilitate,elude,decry,desecrate,Extant,Scintilla,,,,,,,primary,input,,,fruitless,disincentive,decry,eschew,facilitate,elude,decry,desecrate,extant,scintilla
,privilege,insert,,,Gallant,Disinterested,Degenerate,Ethereal,fanaticism,emanate,defile,diadem,Extenuate,Semiotics,,,,,,,privilege,insert,,,gallant,disinterested,degenerate,ethereal,fanaticism,emanate,defile,diadem,extenuate,semiotics
,proceed,inspire,,,Generic,Disseminate,Deluge,Exacting,fidelity,embankment,deft,diatribe,Extirpate,Septum,,,,,,,proceed,inspire,,,generic,disseminate,deluge,exacting,fidelity,embankment,deft,diatribe,extirpate,septum
,product,intercept,,,Genre,Dissident,Delusive,Exhort,flaunt,embodiment,degenerate,dichotomy,Factious,Sessile,,,,,,,product,intercept,,,genre,dissident,delusive,exhort,flaunt,embodiment,degenerate,dichotomy,factious,sessile
,profit,internal,,,Gingerly,Dissuade,Demeanor,Exponent,fluctuate,emigrate,delectable,diffident,Farrago,Shibboleth,,,,,,,profit,internal,,,gingerly,dissuade,demeanor,exponent,fluctuate,emigrate,delectable,diffident,farrago,shibboleth
,publication,introduce,,,Glut,Distraught,Demure,Expunge,formative,empathy,deliberate,diffuse,Fatuous,Sidereal,,,,,,,publication,introduce,,,glut,distraught,demure,expunge,formative,empathy,deliberate,diffuse,fatuous,sidereal
,quantity,invade,,,Gratification,Divergent,Denigrate,Extraneous,formulate,emulate,delusive,diminution,Febrile,Sisyphean,,,,,,,quantity,invade,,,gratification,divergent,denigrate,extraneous,formulate,emulate,delusive,diminution,febrile,sisyphean
,realize,irregular,,,Hamper,Diversion,Deplete,Factitious,fortification,ensue,demeanor,diorama,Feckless,Skullduggery,,,,,,,realize,irregular,,,hamper,diversion,deplete,factitious,fortification,ensue,demeanor,diorama,feckless,skullduggery
,recognize,isolated,,,Heed,Dormant,Deportment,Farce,fossilized,enthrall,demure,disburse,Fecundity,Sodden,,,,,,,recognize,isolated,,,heed,dormant,deportment,farce,fossilized,enthrall,demure,disburse,fecundity,sodden
,reduce,labor,,,Homage,Dreary,Deprecate,Fervid,frivolous,epitaph,denigrate,disconsolate,Fetid,Solarium,,,,,,,reduce,labor,,,homage,dreary,deprecate,fervid,frivolous,epitaph,denigrate,disconsolate,fetid,solarium
,regulation,locate,,,Humanitarian,Duplicity,Derelict,Fester,fruitless,epitome,deportment,discrete,Flaccid,Solipsism,,,,,,,regulation,locate,,,humanitarian,duplicity,derelict,fester,fruitless,epitome,deportment,discrete,flaccid,solipsism
,relax,magnificent,,,Illustrative,Eccentric,Derision,Fiat,futile,errant,deprecate,discursive,Foment,Sophist,,,,,,,relax,magnificent,,,illustrative,eccentric,derision,fiat,futile,errant,deprecate,discursive,foment,sophist
,release,manual,,,Immerse,Eclipse,Despondent,Figurehead,generic,esoteric,derelict,disingenuous,Fractious,Splenetic,,,,,,,release,manual,,,immerse,eclipse,despondent,figurehead,generic,esoteric,derelict,disingenuous,fractious,splenetic
,reliable,mature,,,Immobile,Ecstatic,Diabolical,Finesse,genre,euphoria,derision,disparage,Fulminate,Spoonerism,,,,,,,reliable,mature,,,immobile,ecstatic,diabolical,finesse,genre,euphoria,derision,disparage,fulminate,spoonerism
,remove,maximum,,,Impair,Edict,Digress,Fledgling,gingerly,exasperate,despondent,disquiet,Fulsome,Stochastic,,,,,,,remove,maximum,,,impair,edict,digress,fledgling,gingerly,exasperate,despondent,disquiet,fulsome,stochastic
,request,meadow,,,Impediment,Edifice,Disconcert,Flippant,gratification,exemplary,despot,dour,Fungible,Supererogatory,,,,,,,request,meadow,,,impediment,edifice,disconcert,flippant,gratification,exemplary,despot,dour,fungible,supererogatory
,reserve,mere,,,Impending,Efficacy,Discordant,Florid,gullible,exorbitant,diabolical,draconian,Gainsay,Supernumerary,,,,,,,reserve,mere,,,impending,efficacy,discordant,florid,gullible,exorbitant,diabolical,draconian,gainsay,supernumerary
,resource,minority,,,Impenetrable,Elicit,Disparate,Foible,harmonious,expedient,dictum,droll,Gambol,Suzerain,,,,,,,resource,minority,,,impenetrable,elicit,disparate,foible,harmonious,expedient,dictum,droll,gambol,suzerain
,respect,mock,,,Imperative,Embankment,Disparity,Fortuitous,havoc,expedite,digress,duress,Gauche,Syllogism,,,,,,,respect,mock,,,imperative,embankment,disparity,fortuitous,havoc,expedite,digress,duress,gauche,syllogism
,respond,moisture,,,Implicit,Embodiment,Dispersal,Fracas,hindrance,explicate,disconcert,ecclesiastical,Genuflect,Termagant,,,,,,,respond,moisture,,,implicit,embodiment,dispersal,fracas,hindrance,explicate,disconcert,ecclesiastical,genuflect,termagant
,role,monitor,,,Imposition,Empathy,Disposed,Functionary,homage,exposition,discordant,eclectic,Gerrymander,Troika,,,,,,,role,monitor,,,imposition,empathy,disposed,functionary,homage,exposition,discordant,eclectic,gerrymander,troika
,satisfied,moral,,,Impoverished,Emphatic,Dissipate,Furtive,homogeneous,extravaganza,disparate,edification,Glutinous,Tropism,,,,,,,satisfied,moral,,,impoverished,emphatic,dissipate,furtive,homogeneous,extravaganza,disparate,edification,glutinous,tropism
,scarce,motivation,,,Improvise,Ensue,Dissolution,Gargantuan,hypocritical,exuberance,disparity,efface,Gossamer,Truckle,,,,,,,scarce,motivation,,,improvise,ensue,dissolution,gargantuan,hypocritical,exuberance,disparity,efface,gossamer,truckle
,schedule,mural,,,Impulsive,Enthrall,Dissonance,Garish,hypothetical,facade,disposed,effervescent,Harangue,Tumescent,,,,,,,schedule,mural,,,impulsive,enthrall,dissonance,garish,hypothetical,facade,disposed,effervescent,harangue,tumescent
,section,narrator,,,Incarcerate,Epitaph,Divest,Germane,illustrious,facet,dissolution,effusive,Hegemony,Ululation,,,,,,,section,narrator,,,incarcerate,epitaph,divest,germane,illustrious,facet,dissolution,effusive,hegemony,ululation
,seldom,native,,,Incidental,Epitome,Divulge,Gesticulate,impediment,fallacy,dissonance,egregious,Hermetic,Usury,,,,,,,seldom,native,,,incidental,epitome,divulge,gesticulate,impediment,fallacy,dissonance,egregious,hermetic,usury
,select,navigate,,,Incite,Eradicate,Docile,Gilded,impending,fathom,diurnal,egress,Heterodox,Uxorious,,,,,,,select,navigate,,,incite,eradicate,docile,gilded,impending,fathom,diurnal,egress,heterodox,uxorious
,senseless,negotiate,,,Incompatible,Errant,Dupe,Glib,impenetrable,fiasco,divest,elegy,Histrionic,Vertiginous,,,,,,,senseless,negotiate,,,incompatible,errant,dupe,glib,impenetrable,fiasco,divest,elegy,histrionic,vertiginous
,separate,noble,,,Inconsistency,Excise,Dwindle,Gloss,imperative,figurative,divulge,emaciated,Homily,Virago,,,,,,,separate,noble,,,inconsistency,excise,dwindle,gloss,imperative,figurative,divulge,emaciated,homily,virago
,signal,numerous,,,Indeterminate,Exclusion,Ebullient,Gubernatorial,implicit,fissure,docile,ensconce,Hubris,Vitreous,,,,,,,signal,numerous,,,indeterminate,exclusion,ebullient,gubernatorial,implicit,fissure,docile,ensconce,hubris,vitreous
,situation,occupy,,,Indicative,Excruciating,Ecumenical,Harbinger,imposition,flagrant,dogmatic,epiphany,Iconoclast,Weal,,,,,,,situation,occupy,,,indicative,excruciating,ecumenical,harbinger,imposition,flagrant,dogmatic,epiphany,iconoclast,weal
,standard,offend,,,Inevitable,Excursion,Effigy,Heinous,impoverished,flamboyant,domicile,erudite,Imbroglio,Wont,,,,,,,standard,offend,,,inevitable,excursion,effigy,heinous,impoverished,flamboyant,domicile,erudite,imbroglio,wont
,substitute,opponent,,,Inference,Exemplary,Elocution,Homologous,improvise,fleeting,ebullient,euphemism,Immanent,Wunderkind,,,,,,,substitute,opponent,,,inference,exemplary,elocution,homologous,improvise,fleeting,ebullient,euphemism,immanent,wunderkind
,support,option,,,Ingenuity,Expedient,Elucidate,Humdrum,impulsive,forage,echelon,exacerbate,Impecunious,Yeoman,,,,,,,support,option,,,ingenuity,expedient,elucidate,humdrum,impulsive,forage,echelon,exacerbate,impecunious,yeoman
,surface,outcome,,,Inhospitable,Expedite,Elude,Idyll,inanimate,forlorn,ecumenical,exhort,Imprimatur,ĞĞĞ,,,,,,,surface,outcome,,,inhospitable,expedite,elude,idyll,inanimate,forlorn,ecumenical,exhort,imprimatur,ğğğ
,talent,participate,,,Integrate,Explicate,Emanate,Imbue,inaugural,formidable,effigy,exhume,Impugn,,,,,,,,talent,participate,,,integrate,explicate,emanate,imbue,inaugural,formidable,effigy,exhume,impugn,
,technology,perish,,,Interim,Exposition,Embellish,Imperious,incarcerate,frugal,elocution,exponent,Inchoate,,,,,,,,technology,perish,,,interim,exposition,embellish,imperious,incarcerate,frugal,elocution,exponent,inchoate,
,terror,possess,,,Intervene,Exuberance,Emigrate,Imperturbable,incompatible,gaunt,elucidate,expropriate,Incommensurate,,,,,,,,terror,possess,,,intervene,exuberance,emigrate,imperturbable,incompatible,gaunt,elucidate,expropriate,incommensurate,
,text,postpone,,,Invariable,Facade,Emissary,Inane,inconceivable,genteel,embellish,expunge,Incontrovertible,,,,,,,,text,postpone,,,invariable,facade,emissary,inane,inconceivable,genteel,embellish,expunge,incontrovertible,
,theory,poverty,,,Irreversible,Facet,Empirical,Incognito,inconclusive,gradient,emissary,extemporaneous,Ineluctable,,,,,,,,theory,poverty,,,irreversible,facet,empirical,incognito,inconclusive,gradient,emissary,extemporaneous,ineluctable,
,topic,practical,,,Jeopardy,Fallacy,Emulate,Inculcate,inconsequential,grandiose,empirical,extol,Ingenuous,,,,,,,,topic,practical,,,jeopardy,fallacy,emulate,inculcate,inconsequential,grandiose,empirical,extol,ingenuous,
,transfer,predict,,,Jubilant,Figurative,Enclave,Inductive,indispensable,granule,enclave,extradite,Ingratiate,,,,,,,,transfer,predict,,,jubilant,figurative,enclave,inductive,indispensable,granule,enclave,extradite,ingratiate,
,transmit,preserve,,,Judicious,Fissure,Encroachment,Indulgent,induce,gravity,encroachment,facetious,Ingress,,,,,,,,transmit,preserve,,,judicious,fissure,encroachment,indulgent,induce,gravity,encroachment,facetious,ingress,
,transparent,procedure,,,Kinetic,Flagrant,Encumber,Inebriated,ineffectual,gregarious,encumber,factitious,Insouciance,,,,,,,,transparent,procedure,,,kinetic,flagrant,encumber,inebriated,ineffectual,gregarious,encumber,factitious,insouciance,
,tropical,progress,,,Laborious,Flamboyant,Endemic,Inordinate,inference,grotesque,endemic,fallow,Internecine,,,,,,,,tropical,progress,,,laborious,flamboyant,endemic,inordinate,inference,grotesque,endemic,fallow,internecine,
,variety,prohibit,,,Lavish,Flaunt,Entourage,Interlocutor,infiltrate,haggard,engender,fastidious,Interregnum,,,,,,,,variety,prohibit,,,lavish,flaunt,entourage,interlocutor,infiltrate,haggard,engender,fastidious,interregnum,
